"어린이집명",시도명,시군구명,어린이집유형구분,정원수,보육교직원수,소재지도로명주소,어린이집전화번호,어린이집팩스번호,보육실수,놀이터수,CCTV설치수,통학차량운영여부,홈페이지주소,데이터기준일자
"가람슬기어린이집",대전광역시,대덕구,가정,20,16,"대전광역시 대덕구 동춘당로114번길 60 303동 103호(송촌동, 선비마을3단지아파트)",042-331-0081,,4,0,6,Y,,2019-04-18
"경일어린이집",대전광역시,대덕구,사회복지법인,74,65,대전광역시 대덕구 송촌로37번길 22 (송촌동),042-632-3229,,6,0,9,Y,,2019-04-18
"고슴도치어린이집",대전광역시,대덕구,가정,20,16,"대전광역시 대덕구 대덕대로 1555 112동 101호(석봉동, 금강엑슬루타워)",042-621-1505,,4,0,4,N,,2019-04-18
"기린어린이집",대전광역시,대덕구,가정,20,13,"대전광역시 대덕구 동춘당로 178 110동 101호(법동, 보람아파트)",042-335-5144,,3,0,4,Y,,2019-04-18
"꼬꼬마어린이집",대전광역시,대덕구,가정,19,12,"대전광역시 대덕구 계족로663번길 32 3동 101호(법동, 삼호아파트)",042-621-7620,,4,0,5,Y,,2019-04-18
"꼬마숲중리어린이집",대전광역시,대덕구,가정,20,9,대전광역시 대덕구 계족로517번길 79 (중리동),042-637-1704,,3,1,5,Y,,2019-04-18
"꼬망어린이집",대전광역시,대덕구,가정,20,17,"대전광역시 대덕구 신탄진로218번길 62 102동 103호(와동, 현대아파트)",070-4209-3369,,4,0,4,Y,,2019-04-18
"꽃다비어린이집",대전광역시,대덕구,민간,27,26,대전광역시 대덕구 대덕대로1470번길 75 (목상동),042-934-2004,,4,0,4,Y,,2019-04-18
"꽃뜰어린이집",대전광역시,대덕구,가정,19,15,"대전광역시 대덕구 비래서로10번길 21 103동 103호(비래동,비래한신휴플러스)",042-633-9188,,4,0,4,Y,,2019-04-18
"꿈꾸는어린이집",대전광역시,대덕구,가정,20,12,"대전광역시 대덕구 덕암로234번길 15 101동 101호(덕암동, 덕암마을아파트)",042-933-0359,,4,0,4,Y,,2019-04-18
"꿈미래어린이집",대전광역시,대덕구,민간,27,11,대전광역시 대덕구 한밭대로1129번길 57-10 (중리동),042-621-6005,,4,0,4,Y,,2019-04-18
"꿈사랑어린이집",대전광역시,대덕구,가정,19,17,"대전광역시 대덕구 동춘당로114번길 60 304동 102호(송촌동, 선비마을3단지아파트)",042-626-4151,,4,0,4,Y,,2019-04-18
