"어린이집명",시도명,시군구명,어린이집유형구분,정원수,보육교직원수,소재지도로명주소,어린이집전화번호,어린이집팩스번호,보육실수,놀이터수,CCTV설치수,통학차량운영여부,홈페이지주소,데이터기준일자
"늘사랑어린이집",대전광역시,동구,사회복지법인,80,13,대전광역시 동구 동중앙로 93 (가양동),042-632-3276,,,,,,,2019-03-08
"그린나래어린이집",대전광역시,동구,민간,37,7,대전광역시 동구 동대전로 243 (가양동),042-636-2234,,,,,,,2019-03-08
"동부어린이집",대전광역시,동구,민간,29,7,대전광역시 동구 동서대로1730번길 13 (가양동),042-625-5665,,,,,,,2019-03-08
"목원어린이집",대전광역시,동구,민간,87,14,대전광역시 동구 가양로123번길 6 (가양동),042-634-5428,,,,,,,2019-03-08
"아침마을어린이집",대전광역시,동구,민간,35,8,대전광역시 동구 우암로 192 아침마을 아파트 관리동 (가양1동),042-623-5770,,,,,,,2019-03-08
"키즈야드어린이집",대전광역시,동구,민간,67,13,대전광역시 동구 가양로56번길 13 (가양동),042-635-9090,,,,,,,2019-03-08
"혜원어린이집",대전광역시,동구,민간,106,16,대전광역시 동구 합내로 48 (가양동),042-635-3804,,,,,,,2019-03-08
"베베스타어린이집",대전광역시,동구,가정,20,6,"대전광역시 동구 우암로 192 107-102  (가양1동,아침마을아파트)",042-621-5210,,,,,,,2019-03-08
"아이든어린이집",대전광역시,동구,가정,20,3,"대전광역시 동구 우암로 192 107-101(가양동,아침마을아파트)",042-627-3827,,,,,,,2019-03-08
"아침햇살어린이집",대전광역시,동구,가정,20,7,대전광역시 동구 우암로 192 102-101 (가양1동),042-623-5113,,,,,,,2019-03-08
"가양어린이집",대전광역시,동구,국공립,88,21,대전광역시 동구 동대전로256번길 53 가양어린이집 (가양동),042-623-3923,,,,,,,2019-03-08
"꼬마궁전어린이집",대전광역시,동구,민간,89,5,대전광역시 동구 비래서로42번안길 24 (가양동),042-625-6041,,,,,,,2019-03-08
"둥근마음어린이집",대전광역시,동구,민간,29,8,대전광역시 동구 충정로 136 대주파크빌아파트 관리동 1층 (가양2동),042-383-5004,,,,,,,2019-03-08
"삼성예능어린이집",대전광역시,동구,민간,32,8,대전광역시 동구 충정로130번길 19 (가양동),042-638-2654,,,,,,,2019-03-08
"예원어린이집",대전광역시,동구,민간,40,1,대전광역시 동구 흥룡로71번길 27 (가양동),042-632-0300,,,,,,,2019-03-08
"예은어린이집",대전광역시,동구,민간,87,17,대전광역시 동구 흥룡로65번길 62 (가양2동),042-634-0420,,,,,,,2019-03-08
"큰숲어린이집",대전광역시,동구,민간,40,8,대전광역시 동구 흥룡로37번길 68 (가양2동),042-622-9995,,,,,,,2019-03-08
"파워랜드어린이집",대전광역시,동구,민간,55,10,대전광역시 동구 충정로 63 (가양동),042-622-4965,,,,,,,2019-03-08
