"어린이집명",시도명,시군구명,어린이집유형구분,정원수,보육교직원수,소재지도로명주소,어린이집전화번호,어린이집팩스번호,보육실수,놀이터수,CCTV설치수,통학차량운영여부,홈페이지주소,데이터기준일자
"강남어린이집",대전광역시,중구,민간,82,12,대전광역시 중구 계룡로 873-11,042-255-6640,,,,,Y,,2019-05-23
"곰돌이어린이집",대전광역시,중구,가정,15,2,"대전광역시 중구 태평로 15 111동 104호(태평동, 버드내마을1단지아파트)",042-537-1357,,,,,N,,2019-05-23
"굿모닝 어린이집",대전광역시,중구,가정,11,2,"대전광역시 중구 학고개로57번길 82 A동 101호(옥계동, 한양그린맨션아파트)",042-285-7861,,,,,N,,2019-05-23
"그리다어린이집",대전광역시,중구,가정,20,4,대전광역시 중구 계룡로 852 삼성아파트 22동 105호,070-8818-0345,,,,,N,,2019-05-23
"그린나래 어린이집",대전광역시,중구,가정,17,5,대전광역시 중구 목동로 70 올리브힐아파트 102동 103호(목동),042-224-8884,,,,,N,,2019-05-23
"그린키즈어린이집",대전광역시,중구,가정,20,6,대전광역시 중구 서문로 32 108-102(문화동 한밭우성아파트),042-582-3260,,,,,Y,,2019-05-23
"글꽃어린이집",대전광역시,중구,가정,20,6,"대전광역시 중구 계백로1716번길 87 303동 103호(문화동, 센트럴파크3단지아파트)",042-524-1961,,,,,N,,2019-05-23
"까꿍어린이집",대전광역시,중구,민간,49,8,대전광역시 중구 보문산로171번길 30-9,042-582-8382,,,,,Y,,2019-05-23
"꼬꼬어린이집",대전광역시,중구,가정,20,5,"대전광역시 중구 태평로 15 127동 101호(태평동, 버드내마을1단지아파트)",042-537-0066,,,,,N,,2019-05-23
"꼬마궁전어린이집",대전광역시,중구,민간,47,8,대전광역시 중구 대종로315번길 19 (부사동),042-257-0340,,,,,Y,,2019-05-23
"꼬마별어린이집",대전광역시,중구,가정,19,6,대전광역시 중구 중앙로 45 센트럴뷰아파트 104/101,042-321-7352,,,,,N,,2019-05-23
"꼬마사랑어린이집",대전광역시,중구,가정,17,3,"대전광역시 중구 태평로 15 122동 104호(태평동, 버드내마을1단지아파트)",042-536-8022,,,,,N,,2019-05-23
"꽃망울어린이집",대전광역시,중구,민간,54,10,대전광역시 중구 목중로20번길 16 (중촌동),042-252-5622,,,,,Y,,2019-05-23
"꿈나무어린이집",대전광역시,중구,민간,39,5,대전광역시 중구 선화로57번길 8 (선화동),042-254-3449,,,,,Y,,2019-05-23
"꿈모리어린이집",대전광역시,중구,가정,20,6,"대전광역시 중구 평촌로 93 108동 104호(태평동, 쌍용예가아파트)",042-369-9582,,,,,N,,2019-05-23
"꿈사랑어린이집",대전광역시,중구,사회복지법인,21,7,대전광역시 중구 보문산로333번길 29,042-586-3004,,,,,N,,2019-05-23
"꿈이랑 어린이집",대전광역시,중구,가정,20,6,대전광역시 중구 보문산로161번길 56 삼성푸른아파트 104동 104호,042-581-9823,,,,,Y,,2019-05-23
"꿈이있는어린이집",대전광역시,중구,민간,38,8,대전광역시 중구 문화로99번길 70 (유천동),042-585-8790,,,,,Y,,2019-05-23
"꿈쟁이어린이집",대전광역시,중구,민간,46,9,대전광역시 중구 유천로38번길 8 (유천동),042-523-2803,,,,,Y,,2019-05-23
"나나어린이집",대전광역시,중구,가정,20,6,"대전광역시 중구 평촌로 111 109동 104호(태평동, 태평아파트)",042-524-5520,,,,,N,,2019-05-23
"나클래어린이집",대전광역시,중구,가정,19,6,"대전광역시 중구 목동로 37 115동 106호(목동, 목양마을대아아이투빌아파트)",042-341-7707,,,,,N,,2019-05-23
"누리봄 어린이집",대전광역시,중구,가정,20,7,"대전광역시 중구 수침로 138 110동 102호(태평동, 유등마을아파트)",042-535-2033,,,,,N,,2019-05-23
"누리키즈어린이집",대전광역시,중구,민간,99,18,대전광역시 중구 돌다리로8번길 17 (석교동),042-282-1773,,,,,Y,,2019-05-23
"늘기쁜어린이집",대전광역시,중구,민간,53,10,대전광역시 중구 서문로 109-20,042-585-7600,,,,,Y,,2019-05-23
"늘밝은어린이집",대전광역시,중구,가정,18,3,"대전광역시 중구 수침로 122 101동 103호(태평동, 푸른뫼아파트)",042-347-0381,,,,,N,,2019-05-23
"늘사랑 어린이집",대전광역시,중구,가정,18,7,"대전광역시 중구 태평로 65 31동 14호(태평동, 삼부아파트3단지)",042-524-8291,,,,,Y,,2019-05-23
"늘햇살 어린이집",대전광역시,중구,가정,20,7,"대전광역시 중구 선화로22번길 25 113동 101호(용두동, 미르마을)",042-242-5111,,,,,N,,2019-05-23
"다밀어린이집",대전광역시,중구,민간,49,8,대전광역시 중구 과례로 31 (문화동),042-586-0055,,,,,Y,,2019-05-23
"다원어린이집",대전광역시,중구,가정,20,5,대전광역시 중구 태평로 55 삼부아파트 412동 13호,042-524-4111,,,,,N,,2019-05-23
"대전광역시립으능정이어린이집",대전광역시,중구,국공립,49,16,대전광역시 중구 대종로488번길 9 (은행동),042-721-1261,,,,,N,,2019-05-23
"대전삼성어린이집",대전광역시,중구,민간,140,23,대전광역시 중구 선화로82번길 17,042-253-2285,,,,,N,,2019-05-23
"대전성모어린이집",대전광역시,중구,민간,44,8,대전광역시 중구 대흥로 62 예수수도회교육센터 1층,042-221-4712,,,,,N,,2019-05-23
"도담도담어린이집",대전광역시,중구,가정,19,6,"대전광역시 중구 목동로 37 107동 104호(목동, 목양마을대아아이투빌아파트)",042-345-3840,,,,,N,,2019-05-23
"도담어린이집",대전광역시,중구,민간,36,6,대전광역시 중구 수침로 138 (태평동),042-537-5522,,,,,N,,2019-05-23
"도로시어린이집",대전광역시,중구,협동,95,1,대전광역시 중구 계백로1660번길 71 (문화동),042-581-7789,,,,,Y,,2019-05-23
"동화나라 어린이집",대전광역시,중구,가정,19,7,대전광역시 중구 목동로 70 올리브힐아파트 108동 104호(목동),042-242-1254,,,,,N,,2019-05-23
"둥근별어린이집",대전광역시,중구,민간,80,10,대전광역시 중구 문화로126번길 7 (문화동),042-586-7020,,,,,Y,,2019-05-23
"딩동댕어린이집",대전광역시,중구,가정,20,2,"대전광역시 중구 목동로 37 116동 101호(목동, 목양마을대아아이투빌아파트)",042-345-3878,,,,,N,,2019-05-23
"리더스만인어린이집",대전광역시,중구,민간,67,11,대전광역시 중구 산서로53번길 29 대전 중구 사정동 393-3,042-581-6566,,,,,Y,,2019-05-23
"리틀비전어린이집",대전광역시,중구,민간,49,10,대전광역시 중구 보문로47번길 32 (문창동),042-255-0153,,,,,Y,,2019-05-23
"리틀킹어린이집",대전광역시,중구,민간,90,15,대전광역시 중구 봉소루로36번길 27 (석교동),042-284-5552,,,,,Y,,2019-05-23
"리틀프렌즈어린이집",대전광역시,중구,가정,20,7,"대전광역시 중구 계백로1615번길 34 106동 102호(유천동, 현대아파트)",042-331-3250,,,,,Y,,2019-05-23
"리틀피카소어린이집",대전광역시,중구,민간,25,6,대전광역시 중구 목중로 69 관리사무소1층 (중촌동),042-222-2340,,,,,N,,2019-05-23
"목동어린이집",대전광역시,중구,국공립,65,14,대전광역시 중구 목중로39번길 39 (목동) 목동어린이집,042-252-0505,,,,,N,,2019-05-23
"목양어린이집",대전광역시,중구,가정,20,6,"대전광역시 중구 목동로 37 110동 101호(목동, 목양마을대아아이투빌아파트)",042-222-7486,,,,,N,,2019-05-23
"목원어린이집",대전광역시,중구,민간,47,3,대전광역시 중구 목동로22번길 39-17,042-256-6052,,,,,Y,,2019-05-23
"문화마을어린이집",대전광역시,중구,가정,20,4,대전광역시 중구 계백로1716번길 40 문화마을아파트 105동 103호,042-526-1004,,,,,N,,2019-05-23
"문화어린이집",대전광역시,중구,사회복지법인,94,12,대전광역시 중구 보문산로 209-14,042-583-6034,,,,,Y,,2019-05-23
"미래로어린이집",대전광역시,중구,법인·단체,67,16,대전광역시 중구 계백로1571번길 46-8,042-532-8067,,,,,Y,,2019-05-23
"미르어린이집",대전광역시,중구,민간,30,3,대전광역시 중구 선화로22번길 25 미르마을아파트  관리동 1층,042-345-5369,,,,,N,,2019-05-23
"미소어린이집",대전광역시,중구,민간,114,18,대전광역시 중구 목중로20번길 29 (중촌동),042-242-5959,,,,,Y,,2019-05-23
"미술나라어린이집",대전광역시,중구,가정,18,6,"대전광역시 중구 계룡로 852 11동 105호(오류동, 삼성아파트)",042-525-5847,,,,,N,,2019-05-23
"민들레어린이집",대전광역시,중구,민간,49,11,대전광역시 중구 보문로336번길 21 (선화동),042-256-4257,,,,,Y,,2019-05-23
