"어린이집명",시도명,시군구명,어린이집유형구분,정원수,보육교직원수,소재지도로명주소,어린이집전화번호,어린이집팩스번호,보육실수,놀이터수,CCTV설치수,통학차량운영여부,홈페이지주소,데이터기준일자
IBK참좋은어린이집,대전광역시,서구,직장,49,12,대전광역시 서구 둔산남로 112 IBK기업은행 2층,042-471-4328,,,,11,N,,2019-02-22
"가보어린이집",대전광역시,서구,가정,20,5,"대전광역시 서구 갈마로 262 104동 104호 (내동, 맑은아침아파트)",042-537-2560,,,,4,N,,2019-02-22
"가온아이어린이집",대전광역시,서구,민간,30,5,대전광역시 서구 신갈마로 239-8 (갈마동),042-485-4817,,,,5,Y,,2019-02-22
"가장좋은어린이집",대전광역시,서구,가정,19,7,"대전광역시 서구 가장로 107 208동 101호 (가장동, 삼성래미안아파트)",042-535-7955,,,,4,Y,,2019-02-22
"갈마어린이집",대전광역시,서구,민간,49,10,"대전광역시 서구 신갈마로 95 관리동 (갈마동, 갈마아파트)",042-535-5732,,,,6,N,,2019-02-22
"갑천어린이집",대전광역시,서구,가정,20,5,"대전광역시 서구 만년로 25 101동 101호 (만년동, 강변아파트)",042-483-2399,,,,4,N,,2019-02-22
"강낭콩어린이집",대전광역시,서구,가정,18,7,"대전광역시 서구 가수원로 106 301동 106호 (가수원동, 은아아파트3단지)",042-544-8335,,,,4,Y,,2019-02-22
"강변어린이집",대전광역시,서구,민간,38,9,"대전광역시 서구 만년로 25 (만년동, 강변아파트)",042-484-8144,,,,3,N,,2019-02-22
"건양어린이집",대전광역시,서구,직장,117,16,대전광역시 서구 관저동로 158 (가수원동),042-600-6501,,,,17,N,,2019-02-22
"경남어린이집",대전광역시,서구,가정,18,5,"대전광역시 서구 배재로 155-7 105동 105호 (도마동, 경남아파트2단지)",042-536-7179,,,,5,Y,,2019-02-22
"경성햇살어린이집",대전광역시,서구,가정,19,6,"대전광역시 서구 대덕대로 150 126동 108호 (갈마동, 큰마을아파트)",042-362-4309,,,,4,Y,,2019-02-22
