"어린이집명",시도명,시군구명,어린이집유형구분,정원수,보육교직원수,소재지도로명주소,어린이집전화번호,어린이집팩스번호,보육실수,놀이터수,CCTV설치수,통학차량운영여부,홈페이지주소,데이터기준일자
ADD아이뜰어린이집,대전광역시,유성구,직장,154,34,대전광역시 유성구 지족동로142번길 32 (지족동),042-826-1281,,,,,N,,2019-04-04
ETRI아이나무어린이집,대전광역시,유성구,직장,150,24,대전광역시 유성구 가정로 270,042-864-5678,,,,,N,,2019-04-04
KAERI아톰어린이집,대전광역시,유성구,직장,120,32,대전광역시 유성구 테크노중앙로 267-11 (탑립동),042-933-8680,,,,,Y,,2019-04-04
KAIST어린이집,대전광역시,유성구,직장,150,40,대전광역시 유성구 대학로 291 (구성동),042-350-0853,,,,,N,,2019-04-04
KARI하늘꿈어린이집,대전광역시,유성구,직장,99,23,대전광역시 유성구 과학로 169-84 (어은동),042-879-4001,,,,,N,,2019-04-04
KB대전어린이집,대전광역시,유성구,직장,49,12,대전광역시 유성구 지족로364번길 92 국민은행콜센터내 (지족동),042-826-3463,,,,,N,,2019-04-04
KIGAM지오키즈어린이집,대전광역시,유성구,직장,79,17,대전광역시 유성구 과학로 124 한국지질자원연구원 (가정동),042-861-9734,,,,,N,,2019-04-04
KNF새빛어린이집,대전광역시,유성구,직장,120,30,"대전광역시 유성구 대덕대로989번길 242 (덕진동, 한전원자력연료(주))",042-861-2291,,,,,N,,2019-04-04
KRISS사과나무어린이집,대전광역시,유성구,직장,94,21,대전광역시 유성구 가정로 267 한국표준과학연구원(도룡동),042-604-1004,,,,,N,,2019-04-04
Kinder BOSCH직장어린이집,대전광역시,유성구,직장,49,9,"대전광역시 유성구 테크노중앙로 126 (용산동, 호암빌딩2층)",070-7786-1574,,,,,N,,2019-04-04
LG화학기술연구원어린이집,대전광역시,유성구,직장,120,31,"대전광역시 유성구 가정로 299 (도룡동, 엘지화학 기술연구원 사택)",042-719-4400,,,,,N,,2019-04-04
M-Seed어린이집,대전광역시,유성구,가정,18,4,"대전광역시 유성구 진잠로149번길 24 106동 104호(교촌동, 제이파크아파트)",042-542-0695,,,,,N,,2019-04-04
SK행복어린이집,대전광역시,유성구,직장,85,19,대전광역시 유성구 엑스포로 325 (원촌동),042-609-8195,,,,,N,,2019-04-04
"가람슬기어린이집",대전광역시,유성구,민간,46,8,"대전광역시 유성구 동서대로 725 (원신흥동, 어울림하트아파트내)",042-824-3320,,,,,N,,2019-04-04
"가온별어린이집",대전광역시,유성구,가정,19,5,"대전광역시 유성구 송강로42번길 61 101동 105호(송강동, 청솔아파트)",042-935-7970,,,,,N,,2019-04-04
"가인어린이집",대전광역시,유성구,가정,20,6,"대전광역시 유성구 봉명로 93 606동 102호(봉명동, 도안6단지 센트럴시티)",042-483-8438,,,,,Y,,2019-04-04
"개구쟁이어린이집",대전광역시,유성구,가정,20,7,"대전광역시 유성구 동서대로 725 1204동 104호(원신흥동, 어울림하트아파트)",042-823-5752,,,,,N,,2019-04-04
"경인어린이집",대전광역시,유성구,사회복지법인,72,11,대전광역시 유성구 북유성대로316번길 38 (반석동),042-824-0625,,,,,Y,,2019-04-04
"경험놀이어린이집",대전광역시,유성구,민간,29,7,"대전광역시 유성구 대정로28번안길 80 (대정동, 드리움2단지관리동)",042-541-0550,,,,,Y,,2019-04-04
"고운꿈어린이집",대전광역시,유성구,가정,20,6,"대전광역시 유성구 지족북로 33 노은한화꿈에그린 108동 104호 (지족동, 한화꿈에그린 1블럭)",042-823-0803,,,,,N,,2019-04-04
"고운소리어린이집",대전광역시,유성구,가정,20,7,"대전광역시 유성구 배울1로 35 410동 101호 (관평동, 대덕테크노밸리4단지아파트)",042-537-9980,,,,,N,,2019-04-04
"과학나래어린이집",대전광역시,유성구,직장,90,21,대전광역시 유성구 과학로 169-148 (어은동),042-716-7170,,,,,N,,2019-04-04
"구암파니파니어린이집",대전광역시,유성구,민간,114,16,대전광역시 유성구 유성대로668번길 134-6 (구암동),042-822-0709,,,,,Y,,2019-04-04
"궁전어린이집",대전광역시,유성구,가정,20,6,대전광역시 유성구 상대동로 16 트리풀시티 507-101 (상대동),042-389-6789,,,,,N,,2019-04-04
"그린나래어린이집",대전광역시,유성구,가정,20,5,"대전광역시 유성구 상대로 16 트리풀시티아파트 508동 104호 (상대동, 도안신도시5블록트리풀시티아파트)",042-826-1300,,,,,N,,2019-04-04
"그린영아어린이집",대전광역시,유성구,가정,19,7,"대전광역시 유성구 구즉로 25 311동 103호(송강동, 송강그린아파트)",042-364-5212,,,,,N,,2019-04-04
"그린캐슬어린이집",대전광역시,유성구,가정,20,7,"대전광역시 유성구 배울2로 61 1004동103호(관평동, 테크노밸리10단지아파트)",042-936-5315,,,,,N,,2019-04-04
"그린하트어린이집",대전광역시,유성구,가정,20,6,"대전광역시 유성구 동서대로 725 1212동 103호(원신흥동, 어울림하트아파트)",042-823-2777,,,,,N,,2019-04-04
"글로벌어린이집",대전광역시,유성구,가정,20,8,대전광역시 유성구 노은로410번길 123-13 (하기동),042-365-5110,,,,,Y,,2019-04-04
"기쁨해어린이집",대전광역시,유성구,가정,19,6,"대전광역시 유성구 월드컵대로290번길 20 201동 106호(상대동, 목련아파트2단지)",042-822-3756,,,,,N,,2019-04-04
"까꿍어린이집",대전광역시,유성구,가정,19,5,"대전광역시 유성구 배울2로 42 511동 103호(관평동, 테크노밸리5단지아파트)",042-671-1717,,,,,N,,2019-04-04
"꼬마대장어린이집",대전광역시,유성구,가정,20,6,대전광역시 유성구 봉산로40번길 5 (봉산동),042-935-5243,,,,,Y,,2019-04-04
"꼬마대통령어린이집",대전광역시,유성구,가정,20,7,"대전광역시 유성구 동서대로 725 1204동 102호(원신흥동, 어울림하트아파트)",042-823-5242,,,,,N,,2019-04-04
"꼬마별어린이집",대전광역시,유성구,가정,20,6,"대전광역시 유성구 구즉로 25 308동 101호(송강동, 송강그린아파트)",042-369-3663,,,,,N,,2019-04-04
"꼬마사랑어린이집",대전광역시,유성구,가정,19,6,"대전광역시 유성구 송강로42번길 61 512동 105호(송강동, 청솔아파트)",042-933-2925,,,,,Y,,2019-04-04
"꼬마숲학하어린이집",대전광역시,유성구,가정,20,7,"대전광역시 유성구 학하남로 10 213동 103호(계산동, 오투그란데미학아파트)",042-352-7942,,,,,N,,2019-04-04
"꼬마천사어린이집",대전광역시,유성구,가정,19,5,"대전광역시 유성구 진잠로42번길 30 106동 105호(원내동, 한아름아파트)",042-545-1311,,,,,Y,,2019-04-04
"꽃뜨락어린이집",대전광역시,유성구,가정,18,4,대전광역시 유성구 덕명로71번길 12 (덕명동),042-822-5338,,,,,Y,,2019-04-04
"꽃별어린이집",대전광역시,유성구,가정,20,5,"대전광역시 유성구 배울2로 42 508동 101호(관평동, 테크노밸리5단지아파트)",042-935-1293,,,,,N,,2019-04-04
"꽃피는어린이집",대전광역시,유성구,가정,20,4,대전광역시 유성구 계룡로66번길 31 (봉명동),042-824-7949,,,,,Y,,2019-04-04
