통계년월,통계시도명,통계시군구명,수급자구분,성별,연령구간,수급자수
201905,서울특별시,종로구,조건부수급자,여성,19~29세,30
201905,서울특별시,종로구,조건부수급자,여성,30~39세,13
201905,서울특별시,종로구,조건부수급자,여성,40~49세,35
201905,서울특별시,종로구,조건부수급자,여성,50~59세,31
201905,서울특별시,종로구,조건부수급자,여성,60~64세,19
201905,서울특별시,종로구,조건부수급자,여성,65~69세,1
201905,서울특별시,종로구,일반수급자,남성,19~29세,67
201905,서울특별시,종로구,조건부수급자,여성,70~74세,1
201905,서울특별시,종로구,조건부수급자,여성,75~79세,1
201905,서울특별시,종로구,조건부수급자,여성,80~89세,4
201905,서울특별시,종로구,시설수급자,남성,7세미만,4
201905,서울특별시,종로구,시설수급자,남성,7~12세,1
201905,서울특별시,종로구,시설수급자,남성,19~29세,13
201905,서울특별시,종로구,시설수급자,남성,30~39세,60
201905,서울특별시,종로구,시설수급자,남성,40~49세,87
201905,서울특별시,종로구,시설수급자,남성,50~59세,43
201905,서울특별시,종로구,일반수급자,남성,30~39세,48
201905,서울특별시,종로구,시설수급자,남성,60~64세,18
201905,서울특별시,종로구,시설수급자,남성,65~69세,17
201905,서울특별시,종로구,시설수급자,남성,70~74세,7
201905,서울특별시,종로구,일반수급자,남성,40~49세,152
201905,서울특별시,종로구,시설수급자,여성,7세미만,32
201905,서울특별시,종로구,시설수급자,여성,7~12세,6
201905,서울특별시,종로구,시설수급자,여성,13~15세,5
201905,서울특별시,종로구,시설수급자,여성,16~18세,2
201905,서울특별시,종로구,시설수급자,여성,19~29세,25
201905,서울특별시,종로구,시설수급자,여성,30~39세,52
201905,서울특별시,종로구,시설수급자,여성,40~49세,71
201905,서울특별시,종로구,시설수급자,여성,50~59세,67
201905,서울특별시,종로구,시설수급자,여성,60~64세,37
201905,서울특별시,종로구,일반수급자,남성,50~59세,438
201905,서울특별시,종로구,시설수급자,여성,65~69세,24
201905,서울특별시,종로구,시설수급자,여성,70~74세,19
201905,서울특별시,종로구,시설수급자,여성,75~79세,18
201905,서울특별시,종로구,시설수급자,여성,80~89세,44
201905,서울특별시,종로구,시설수급자,여성,90세이상,31
201905,서울특별시,종로구,특례수급자,남성,7~12세,1
201905,서울특별시,종로구,특례수급자,남성,19~29세,1
201905,서울특별시,종로구,특례수급자,남성,30~39세,3
201905,서울특별시,종로구,특례수급자,남성,40~49세,8
201905,서울특별시,종로구,특례수급자,남성,50~59세,32
201905,서울특별시,종로구,특례수급자,남성,60~64세,19
201905,서울특별시,종로구,특례수급자,남성,65~69세,11
201905,서울특별시,종로구,일반수급자,남성,60~64세,280
201905,서울특별시,종로구,특례수급자,남성,70~74세,14
201905,서울특별시,종로구,특례수급자,남성,75~79세,7
201905,서울특별시,종로구,특례수급자,남성,80~89세,4
201905,서울특별시,종로구,특례수급자,여성,19~29세,2
201905,서울특별시,종로구,특례수급자,여성,30~39세,1
201905,서울특별시,종로구,특례수급자,여성,40~49세,1
201905,서울특별시,종로구,특례수급자,여성,50~59세,1
201905,서울특별시,종로구,특례수급자,여성,65~69세,7
201905,서울특별시,종로구,특례수급자,여성,70~74세,15
201905,서울특별시,종로구,특례수급자,여성,75~79세,17
201905,서울특별시,종로구,특례수급자,여성,80~89세,11
201905,서울특별시,종로구,특례수급자,여성,90세이상,4
201905,서울특별시,종로구,일반수급자,남성,65~69세,294
201905,서울특별시,종로구,일반수급자,남성,70~74세,226
201905,서울특별시,종로구,일반수급자,남성,75~79세,188
201905,서울특별시,종로구,일반수급자,남성,7~12세,59
201905,서울특별시,종로구,일반수급자,남성,80~89세,106
201905,서울특별시,종로구,일반수급자,남성,90세이상,8
201905,서울특별시,종로구,일반수급자,여성,7세미만,19
201905,서울특별시,종로구,일반수급자,여성,7~12세,62
201905,서울특별시,종로구,일반수급자,여성,13~15세,47
201905,서울특별시,종로구,일반수급자,여성,16~18세,73
201905,서울특별시,종로구,일반수급자,여성,19~29세,57
201905,서울특별시,종로구,일반수급자,남성,7세미만,12
201905,서울특별시,종로구,일반수급자,여성,30~39세,47
201905,서울특별시,종로구,일반수급자,여성,40~49세,122
201905,서울특별시,종로구,일반수급자,여성,50~59세,183
201905,서울특별시,종로구,일반수급자,남성,13~15세,52
201905,서울특별시,종로구,일반수급자,여성,60~64세,93
201905,서울특별시,종로구,일반수급자,여성,65~69세,130
201905,서울특별시,종로구,일반수급자,여성,70~74세,151
201905,서울특별시,종로구,일반수급자,여성,75~79세,196
201905,서울특별시,종로구,일반수급자,여성,80~89세,215
201905,서울특별시,종로구,일반수급자,여성,90세이상,43
201905,서울특별시,종로구,조건부수급자,남성,7세미만,5
201905,서울특별시,종로구,조건부수급자,남성,7~12세,9
201905,서울특별시,종로구,조건부수급자,남성,13~15세,4
